time,symbol,strategy,direction,entry,sl_pts,tp_pts,atr,point,outcome,pnl_pts,pnl_usd,week
2026-07-10 09:00:00,ETHUSD,PIP_BLAST,BUY,1775.6,19.144140924634172,80.63792471000234,1.5926905927316284,0.01,LOSS,-19.1,-0.02,Jul 04–10 2026
2026-07-10 11:15:00,ETHUSD,PIP_BLAST,BUY,1783.59,16.743137127844673,70.52454515663692,1.39293986088558,0.01,LOSS,-16.7,-0.02,Jul 04–10 2026
2026-07-10 11:30:00,ETHUSD,PIP_BLAST,BUY,1783.24,24.75926709688702,104.28965832906735,2.059839192752664,0.01,LOSS,-24.8,-0.02,Jul 04–10 2026
2026-07-10 11:45:00,ETHUSD,PIP_BLAST,BUY,1781.64,29.141980323887584,122.7502881695864,2.424457597661197,0.01,LOSS,-29.1,-0.03,Jul 04–10 2026
2026-07-10 12:00:00,ETHUSD,PIP_BLAST,BUY,1780.93,31.23643038675236,131.57241850925723,2.5987046910775677,0.01,WIN,131.6,0.13,Jul 04–10 2026
2026-07-10 12:15:00,ETHUSD,PIP_BLAST,BUY,1786.19,32.664061550077506,137.58581000669082,2.717476002502288,0.01,LOSS,-32.7,-0.03,Jul 04–10 2026
2026-07-10 12:30:00,ETHUSD,PIP_BLAST,BUY,1790.67,37.279412361985365,157.02634341824617,3.101448615805771,0.01,LOSS,-37.3,-0.04,Jul 04–10 2026
2026-07-10 12:45:00,ETHUSD,PIP_BLAST,BUY,1790.47,44.40561446418481,187.04295010995648,3.694310687536174,0.01,LOSS,-44.4,-0.04,Jul 04–10 2026
2026-07-10 13:00:00,ETHUSD,PIP_BLAST,BUY,1788.18,46.875808009121016,197.44776701346063,3.8998176380300347,0.01,WIN,197.4,0.2,Jul 04–10 2026
2026-07-10 13:15:00,ETHUSD,PIP_BLAST,BUY,1798.01,47.436019579555044,199.80746017577968,3.946424257866476,0.01,LOSS,-47.4,-0.05,Jul 04–10 2026
2026-07-10 13:30:00,ETHUSD,PIP_BLAST,BUY,1797.41,52.010137408100576,219.07431422397104,4.326966506497552,0.01,LOSS,-52.0,-0.05,Jul 04–10 2026
2026-07-10 13:45:00,ETHUSD,PIP_BLAST,BUY,1794.59,54.56021593879876,229.8156183844743,4.53911946246246,0.01,WIN,229.8,0.23,Jul 04–10 2026
2026-07-10 14:00:00,ETHUSD,PIP_BLAST,BUY,1797.47,54.51177220252309,229.61156627402195,4.535089201541022,0.01,LOSS,-54.5,-0.05,Jul 04–10 2026
2026-07-10 14:15:00,ETHUSD,PIP_BLAST,BUY,1794.96,51.23806492525031,215.82223187732302,4.262734186792871,0.01,LOSS,-51.2,-0.05,Jul 04–10 2026
2026-07-10 14:30:00,ETHUSD,PIP_BLAST,BUY,1795.07,44.480112438956844,187.35674648788563,3.700508522375778,0.01,LOSS,-44.5,-0.04,Jul 04–10 2026
2026-07-10 14:45:00,ETHUSD,PIP_BLAST,BUY,1799.0,37.39389283578937,157.5085519364406,3.1109727816796484,0.01,LOSS,-37.4,-0.04,Jul 04–10 2026
2026-07-10 15:00:00,ETHUSD,PIP_BLAST,BUY,1802.32,38.04295751933393,160.24250742128757,3.1649715074321074,0.01,LOSS,-38.0,-0.04,Jul 04–10 2026
2026-07-10 15:15:00,ETHUSD,PIP_BLAST,BUY,1798.64,39.17573719971224,165.01394129961983,3.2592127454003523,0.01,LOSS,-39.2,-0.04,Jul 04–10 2026
2026-07-10 15:30:00,ETHUSD,PIP_BLAST,BUY,1792.15,35.235640233553255,148.4176759588021,2.931417656701602,0.01,WIN,148.4,0.15,Jul 04–10 2026
2026-07-10 15:45:00,ETHUSD,PIP_BLAST,BUY,1791.69,27.581726612774006,116.17827108192577,2.2946527964038275,0.01,LOSS,-27.6,-0.03,Jul 04–10 2026
