strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,status,exit_time,exit_price,exit_reason,pnl
rsi_oversold,BUY,2026-04-02 09:26:00.000000,22868.45,22850,ce,5.0,0.46,-0.5721,0.0106,0.1963,0.7100223568865076,,CLOSED,2026-04-02 09:32:00.000000,22886.34,Time Exit,894.4999999999709
rsi_oversold,BUY,2026-04-02 09:27:00.000000,22878.16,22900,ce,5.0,0.5013,-0.4595,0.0096,0.2126,0.6898126164298479,,CLOSED,2026-04-02 09:33:00.000000,22883.67,Time Exit,275.49999999991996
rsi_oversold,BUY,2026-04-02 09:28:00.000000,22875.5,22900,ce,5.0,0.5013,-0.4595,0.0096,0.2126,0.6832619690572433,,CLOSED,2026-04-02 09:34:00.000000,22901.42,Time Exit,1295.9999999999127
rsi_oversold,BUY,2026-04-03 09:15:00.000000,22584.35,22600,ce,10.0,0.5529,-0.5208,0.0093,0.2046,0.8445029640371364,,CLOSED,2026-04-03 09:21:00.000000,22679.29,Time Exit,4747.000000000116
rsi_oversold,BUY,2026-04-03 09:16:00.000000,22607.27,22600,ce,10.0,0.5529,-0.5208,0.0093,0.2046,0.8122998736817308,,CLOSED,2026-04-03 09:22:00.000000,22688.53,Time Exit,4062.99999999992
rsi_oversold,BUY,2026-04-03 09:17:00.000000,22639.41,22650,ce,10.0,0.5085,-0.5558,0.0101,0.1945,0.7666008484853744,,CLOSED,2026-04-03 09:23:00.000000,22700.26,Time Exit,3042.4999999999272
rsi_oversold,BUY,2026-04-03 09:18:00.000000,22618.67,22600,ce,10.0,0.5529,-0.5208,0.0093,0.2046,0.7935828300101567,,CLOSED,2026-04-03 09:24:00.000000,22708.03,Time Exit,4468.000000000029
rsi_oversold,BUY,2026-04-03 09:19:00.000000,22617.04,22600,ce,10.0,0.5529,-0.5208,0.0093,0.2046,0.8291402944261743,,CLOSED,2026-04-03 09:25:00.000000,22678.23,Time Exit,3059.4999999999345
rsi_oversold,BUY,2026-04-03 09:20:00.000000,22641.88,22650,ce,10.0,0.5085,-0.5558,0.0101,0.1945,0.8207896364803844,,CLOSED,2026-04-03 09:26:00.000000,22669.63,Time Exit,1387.5
rsi_oversold,BUY,2026-04-03 09:21:00.000000,22679.29,22700,ce,18.05,0.5321,-0.4435,0.009,0.2125,0.7690661357375806,,CLOSED,2026-04-03 09:27:00.000000,22674.62,Time Exit,-233.5000000000946
