2026-05-14T15:00:33.301191 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T15:15:35.122303 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T15:15:35.122303 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T15:30:36.528146 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T15:30:36.528146 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T15:45:38.934682 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T15:45:38.934682 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T16:00:46.253200 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T16:00:46.253200 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T16:15:58.510481 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T16:15:58.510481 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T16:30:59.748528 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T16:30:59.748528 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T16:46:00.118462 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T16:46:00.118462 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T17:01:01.436708 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T17:01:01.436708 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T17:16:02.476104 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T17:16:02.476104 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-15T09:17:04.118761 | VWAP_BAND_PCT = 0.0015 | Regime profile
2026-05-15T09:17:04.118840 | MOMENTUM_THRESHOLD = 60 | Regime profile
2026-05-15T09:17:04.118840 | POSITION_SIZE_PCT = 0.7 | Regime profile
2026-05-15T09:17:04.118840 | CONFIDENCE_BYPASS = 0.93 | Regime profile
2026-05-15T09:17:04.118840 | MAGIC_MAX_TRADES = 2 | Regime profile
